TicketID,Status,Priority,Severity,Title,Description,AssignedTo,StartDate,DueDate,TargetCompletionDate,TokenEstimate,TokensBurned,Labels,BlockedBy,Blocks,Notes,Attempts,LastUpdated
TICKET-001,Complete,High,Medium,Test Trade EMA/RSI Analysis,"Implemented trend analysis with Up/Down probabilities based on combined EMA/RSI strategies. Added Test BUY/SELL buttons. Deterministic math, zero token cost.",Copilot,20/02/2026,26/02/2026,26/02/2026,8,8,"feature,completed,test-trade,trend-analysis",,,✅ Delivered. See TICKET-001_TestTrade_EMA_RSI_TrendAnalysis.md,1,2026-02-26T18:00:00
TICKET-002,Complete,High,Medium,Dashboard Balance History,Implemented BalanceHistoryService integration. Real-time account balance tracking with history visualization.,Copilot,05/03/2026,10/03/2026,10/03/2026,8,8,"feature,completed,dashboard,balance-tracking",,,✅ Delivered. BalanceHistoryService + DashboardView.,1,2026-03-10T16:00:00
TICKET-003,Backlog,Low,Low,Market Data Real-Time Streaming,"Add real-time market data streaming to Market Data view. Show bid/ask spreads, order book depth. Requires market data API integration.",Copilot,,15/05/2026,15/05/2026,12,0,"feature,future,market-data,streaming",,,Placeholder. Awaiting TopStep API capability confirmation.,0,2026-02-27T15:30:00
TICKET-004,Backlog,Low,Low,Risk Guard Position Sizing,Implement position sizing calculator based on account risk percentage. Add stop-loss suggestions. Future ML enhancement for optimal sizing.,Copilot,,20/05/2026,20/05/2026,16,0,"feature,future,risk-management,position-sizing",,,Placeholder. Requires strategy framework finalization first.,0,2026-02-27T15:30:00
TICKET-005,Backlog,Medium,High,Fix Backtest Strategy Mismatch (Backtest Page),Investigate discrepancy: RSI Reversal on MESH26 generates trades hourly in backtest but zero trades in AI Trade with same settings. Log to Backtest Page investigation queue. Verify strategy implementation consistency between backtest engine and live trading.,Copilot,,20/05/2026,20/05/2026,8,0,"bug,backtest,rsi-reversal,strategy-validation,backtest-page",TICKET-006,,Root cause analysis needed when Backtest Page rewrite (TICKET-006) is complete. Check if strategy parameters or data feeds differ between modes.,0,2026-02-27T15:30:00
TICKET-006,In Development,High,High,Backtest Page Complete Rewrite,"USER WORKFLOW SPECIFIED 2026-03-01: (1) Choose Contract → (2) Choose Strategy → (3) Auto-adjust Capital/Qty/TP/SL → (4) Download 5-min bars to SQLite → (5) Train model → (6) Run backtest → (7) Display results. Reuse ContractSelectorControl, Capital/Qty/TP/SL from AI Trade page. No account selector. Download historic bars regardless of market status. If bars unavailable, disable Run Backtest button. Retain date range and confidence selectors from current.",Claude Sonnet 4.6,01/03/2026,30/05/2026,30/05/2026,13,0,"feature,backtest-page,ui-refactor,single-strategy",,TICKET-005,USER WORKFLOW: Reuse AI Trade components. Bar download to SQLite. Auto-adjust strategy parameters. Train ML if applicable. Results in current backtest format. Unblocks TICKET-005 when complete.,0,2026-03-01T20:15:00
TICKET-007,Backlog,Medium,Medium,Multi-Strategy Concurrent Trading,"Design & implement capability to run multiple strategies simultaneously on same contract. Workflow: (1) Backtest all strategies against contract (e.g., MGCJ26), (2) Filter strategies with >65% win rate, (3) Click 'Trade' to run selected strategies concurrently. Analysis needed on handling conflicting signals and position overlap.",Copilot,,01/05/2026,01/05/2026,20,0,"feature,ai-trade,multi-strategy,requires-design-review",,,Needs stakeholder review before coding. Risk: competing orders. Opportunity: diversified signals.,0,2026-02-27T15:30:00
TICKET-008,Cancelled,Medium,Low,Strategy Confirmation Filters,Implement confirmation filter logic: RSI oversold + price closes above/below swing high/low OR RSI crosses back above threshold. Expected to filter 20-30% of losing trades on 5-min bars. Apply to all RSI-based strategies.,Copilot,,20/04/2026,,12,0,"feature,strategy-enhancement,rsi-confirmation,filter",,,DUPLICATE — merged into backtest validation workflow and TICKET-020 economic calendar filter.,0,2026-02-27T15:30:00
TICKET-009,For Development,Medium,Medium,Trailing Take Profit Implementation,"Implement intelligent trailing take profit (TP) in AI Trade tab. Monitor every 5 seconds, adjust TP dynamically based on candle movement. Research required: Does Claude API integration needed for intelligent TP adjustment? Current: static TP only.",Copilot,,10/04/2026,10/04/2026,16,0,"feature,ai-trade,trailing-tp,research-required",,,Needs research phase on AI API requirements. Profit optimization feature.,0,2026-02-27T15:30:00
TICKET-010,For Development,High,Critical,Fix Stop Loss Hardcoding Bug,"Critical: TP and SL are hardcoded in API calls instead of applied once post-trade. If app crashes, trade runs endlessly without stop loss. Example: Double Bottom RSI trade (2026-02-25 11:50:16) had SL/TP = 0.00. Implement SL/TP persistence in database and risk guard.",Claude Sonnet 4.6,,10/03/2026,10/03/2026,18,0,"bug,critical,risk-management,stop-loss",,,🔴 CRITICAL RISK. Data shows SL/TP sometimes zero. Affects all trades. Urgent fix required.,0,2026-02-27T15:30:00
TICKET-011,Complete,High,High,AI Trade: Add Confidence Selector,Confidence threshold selector (MinConfidencePct) implemented inline in Panel 1 Row 2 alongside Capital/Qty/TP/SL. Default 75%. Applied by StrategyExecutionEngine on every signal evaluation. Superseded by TICKET-023 which narrowed the scope and delivered it.,Claude Sonnet 4.6,02/03/2026,08/04/2026,02/03/2026,20,2,"feature,ai-trade,confidence-selector,ui,complete",TICKET-006,,✅ Complete. Implemented as part of TICKET-023. MinConfidencePct TextBox in AiTradingView.xaml + VM property + engine integration. Build 0 errors 0 warnings.,1,2026-03-02T00:00:00
TICKET-012,For Development,High,High,Fix 30-Second Bar Check vs 5-Minute Strategy,AI Trade polls every 30 seconds but strategy is 5-minute based. Optimize polling: align evaluation to 5-minute bar completion. Reduce unnecessary evaluations and API calls.,Claude Haiku 4.5,,03/01/2026,01/03/2026,8,0,"optimization,ai-trade,polling,bar-alignment",,,"Simple fix: query bar timestamp, check if 5-min boundary crossed. Reduces computational load. URGENT: Performance optimization for live polling.",0,2026-02-27T15:30:00
TICKET-013,Complete,High,Medium,Add Balance & Daily P&L Display,Add real-time account balance and daily P&L display to AI Trade tab. Refresh every 5 minutes (sync with bar data). Balance may change due to direct TopStepX platform trades.,Copilot,,08/04/2026,08/04/2026,8,8,"feature,ai-trade,balance-display,dashboard",,,✅ No longer needed - superseded by TICKET-021,0,2026-02-27T15:30:00
TICKET-014,Complete,Medium,Medium,Redesign AI Trade Layout,Replaced 8 individual strategy buttons with 4 buttons (1 active EMA/RSI Combined + 3 In Dev placeholders). Removed parse-own-strategy UI (code preserved). Replaced AI Review panel with Confidence Check panel (Claude Haiku). New EmaRsiCombined indicator type and EmaRsiWeightedScore condition type added to Core enums and executed by StrategyExecutionEngine. One-click activate — no parse step required. Economic calendar filter logged as TICKET-020.,Claude,28/02/2026,10/04/2026,01/03/2026,14,14,"ui,ai-trade,layout-redesign,ema-rsi,confidence-check",,,✅ Build 0 errors 0 warnings. See TICKET-014_.Redesign_AI_Trade_Layout.md.,1,2026-03-01T00:00:00
